frequency (Hz)	real part	imaginary part
4.000000	-16.016414	-1.271327
4.500000	-2.091738	23.908673
5.000000	14.523652	1.379051
5.500000	-0.000000	0.000000
6.000000	4.458294	0.479847
6.500000	0.000000	-0.000000
7.000000	2.498667	0.291875
7.500000	0.000000	-0.000000
8.000000	1.690067	0.206077


frequency (Hz)	magnitude	phase (degrees)
4.000000	16.066792	-175.461577
4.500000	24.000000	95.000000
5.000000	14.588977	5.424093
5.500000	0.000000	107.126311
6.000000	4.484042	6.143102
6.500000	0.000000	-29.001200
7.000000	2.515656	6.662659
7.500000	0.000000	-27.767515
8.000000	1.702584	6.951986
